,"OKFFI ry 2014","school of data.fi","Datademo 2014 / Open Knowledge Finland ry","Avoin GLAM 2014 / Open Knowledge Finland ry","Tukea avoimeen lisensointiin -projekti / Open Knowledge Finland ry","My Data  / Open Knowledge Finland ry","Open Decisions / OKF FInland","OKFFI - Open Knowledge Roadshow 2013","D-CENT / Open Knowledge Finland ry","Sujuvuusnavigaattori / Open Knowledge Finland ry","6. aika / Open Knowledge Finland ry","Kohti avointa kulttuuria -projekti / Open Knowledge Finland ry","Apps4Finland / Open Knowledge Finland ry","KAIKKI YHTEENSÄ"
"Hallinto","17097,3",0,0,0,0,0,0,0,0,0,0,0,0,"17097,3"
"Sisäiset siirrot","18463,35",4000,0,0,0,0,0,24500,0,3000,0,0,0,"49963,35"
"Tase","11534,2",0,0,0,0,0,0,0,0,0,0,0,0,"11534,2"
"Tilaisuudet",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulot",0,0,0,0,0,0,0,1200,0,0,0,0,0,1200
"Yleiset",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viestintä",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rahoitus",3000,0,57000,45000,22800,39760,6360,20000,25578,30000,3200,48600,10400,311698
"Ostot",0,0,0,0,0,0,0,0,0,0,0,400,0,400
"Palvelut","-2211,71",0,0,0,0,0,0,0,0,0,0,0,0,"-2211,71"
"Sisäiset siirrot",-3000,0,-1600,0,-3000,0,0,"-15559,89",0,0,0,0,0,"-23159,89"
"Annetut apurahat",0,0,"-43493,32",0,0,0,0,0,0,0,0,0,0,"-43493,32"
"Rahoitus",0,0,0,0,0,0,0,0,0,0,0,"-5571,54",0,"-5571,54"
"Muut kulut",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tase",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tilaisuudet","-2027,15",0,0,-405,"-716,72",0,"-139,74","-10717,69",0,0,0,"-3300,92",0,"-17307,22"
"Kirjanpito","-3588,56",0,0,0,0,0,0,0,0,0,0,0,0,"-3588,56"
"Hallinto","-861,73",0,0,0,0,0,0,0,0,0,"-697,3",-7800,0,"-9359,03"
"Yleiset",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Työryhmät","-202,44",0,0,0,0,0,0,0,0,0,0,0,0,"-202,44"
"Henkilökulut","-27987,97",0,"-5183,99",0,"-8487,08","-4417,62",-496,-7190,0,0,"-2499,1","-23960,47",0,"-80222,23"
"Matkakulut","-461,13",0,0,"-29,2",0,"-743,5","-222,73","-6882,15",0,"-68,8",0,"-450,65",0,"-8858,16"
"Viestintä",0,0,"-498,86",0,0,0,0,"-96,02",0,0,0,"-5534,12",0,-6129
"Alihankinta",0,0,0,0,0,"-16881,2",0,0,0,-1984,0,0,0,"-18865,2"
"Pankkikulut","-61,2","-0,9","-33,3","-1,8","-26,1","-13,5","-5,4","-96,3","-0,9","-4,5","-3,6","-63,9",0,"-311,4"
"Ostot","-349,56",0,0,"-60,9","-1591,39","-184,95",0,0,0,"-122,69",0,"-713,28",0,"-3022,77"
"SALDO","9343,4","3999,1","6190,53","44503,1","8978,71","17519,23","5496,13","5157,95","25577,1","30820,01","-9,10382880192628E-014","1605,12",10400,
