,"OKFFI ry 2014","school of data.fi","Datademo 2014 / Open Knowledge Finland ry","Avoin GLAM 2014 / Open Knowledge Finland ry","Tukea avoimeen lisensointiin -projekti / Open Knowledge Finland ry","My Data  / Open Knowledge Finland ry","Open Decisions / OKF FInland","OKFFI - Open Knowledge Roadshow 2013","D-CENT / Open Knowledge Finland ry","Sujuvuusnavigaattori / Open Knowledge Finland ry","6. aika / Open Knowledge Finland ry","Kohti avointa kulttuuria -projekti / Open Knowledge Finland ry","Apps4Finland / Open Knowledge Finland ry","OKFFI ry 2013"
"Uncategorised",0,0,0,0,0,0,0,0,0,3000.00,0,0,0,0
"Hankeavustukset",0,0,0,0,0,0,0,24500.00,0,0,0,0,0,0
"Lipputulot",0,0,0,0,0,0,0,1200.00,0,0,0,0,0,0
"Muut kulut",0,0,0,0,0,0,0,0,0,0,0,400.00,0,0
"Pre-payment",0,0,0,0,0,0,0,0,25578.00,0,0,0,0,0
"OKM-rahoitus",0,0,0,45000.00,20000.00,0,0,0,0,0,0,0,0,85000.00
"Energy Hackathon",0,0,0,0,0,0,0,0,0,0,0,0,0,900.00
"Rahoitus roadshow-budjetista",0,0,0,0,0,0,6000.00,0,0,0,0,0,0,0
"OK Festival Leftover",0,0,0,0,0,0,0,0,0,0,0,0,0,7312.29
"Avaussaldo",11534.20,0,0,0,0,0,0,0,0,0,0,0,0,0
"OKFFI-laina",0,0,0,0,0,0,0,0,0,3000.00,0,0,0,0
"Datademo-projekti",0,0,0,0,0,0,0,0,0,0,0,0,0,12000.00
"Kohti avointa kulttuuria -hanke",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"Sponsorointi ja osallistumiset",0,0,0,0,2800.00,0,0,0,0,0,0,9600.00,0,0
"LVM-rahoitus",0,0,0,0,0.00,0,0,0,0,0,0,0,0,8000.00
"Completion of project ",0,0,0,0,0,0,0,0,0.00,0,0,0,0,0
"HRI:n rahoitus",0,0,36000.00,0,0,0,0,0,0,0,0,0,0,0
"Interim reports",0,0,0,0,0,0,0,0,0.00,0,0,0,0,0
"OKM:n tuki",0,0,0,0,0,0,0,0,0,0,0,39000.00,0,0
"OKFFI seed funding",0,4000.00,0,0,0,0,0,0,0,0,0,0,0,0
"OKFFI:n tuki hankkeelle",0,0,1000.00,0,0,0,0,0,0,0,0,0,0,0
"Loan repayments",0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
"Järjestäjäkumppanuus",0,0,0,0,0,0,0,15000.00,0,0,0,0,0,0
"Painotuotteiden myynti",0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
"Sitran rahoitus",0,0,20000.00,0,0,0,0,0,0,0,0,0,0,0
"Refunds from projects",18463.35,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yleiskategoria",0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0
"Sitra rahoitus",0,0,0,0,0,10000.00,0,0,0,0,0,0,0,0
"Rahoitus",0,0,0,0,0,0,0,0,0,0.00,3200.00,0,0,0
"Admin fees from projects",17097.30,0,0,0,0,0,0,0,0,0,0,0,0,0
"OKCon Ticket Sales",0,0,0,0,0,0,0,0,0,0,0,0,0,9153.00
"Kansan sivistystyön liiton tuki",0,0,0,0,0,0,360.00,0,0,0,0,0,0,0
"Sponsorit ja tukijat",0,0,0,0,0,0,0,5000.00,0,0,0,0,0,0
"LVM rahoitus",0,0,0,0,0,29760.00,0,0,0,0,0,0,0,0
"OKFFI:n yleiskulut",-0,-0,-1600.00,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Fasilitaattoreiden palkka",-0,-0,-3455.99,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Salaries WP6",-0,-0,-0,-0,-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0
"Salaries WP4",-0,-0,-0,-0,-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0
"Verkoston tiedotus",-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Muut kiertueen yhteiset kulut",-0,-0,-0,-0,-0,-0,-0,-4216.10,-0,-0,-0,-0,-0,-0
"Graafinen suunnittelu ja paino",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-3959.32,-0,-0
"Venue Rent and Food",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5404.00
"Alihankinta (sis alv.)",-0,-0,-0,-0,-0,-7381.20,-0,-0,-0,-0,-0,-0,-0,-0
"Salaries",-16197.28,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"expenses",-0,-0.00,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Matkakulut (sponsoroitu)",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5571.54,-0,-0
"Salaries WP5",-0,-0,-0,-0,-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0
"datam.me hanke",-0,-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0,-0,-0,-0
"Salary related costs",-10822.71,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Matkakulut",-0,-0,-0,-0,-0.00,-0,-222.73,-0,-0,-68.80,-0,-450.65,-0,-0
"Transportation",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-138.89
"3. kierroksen työpaketteihin",-0,-0,-13510.00,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Avoin 2014 tilavuokrat",-0,-0,-0,-0,-716.72,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Kohti avointa kulttuuria",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-39000.00
"Avoin 2014 valmistelu",-0,-0,-0,-0,-3547.68,-0,-0,-0,-0,-0,-0,-0,-0,-0
